Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
q29_kn_barotrauma,test_wiedzy,,radio,Co to jest barotrauma?,"1, Uraz spowodowany różnicą ciśnień | 2, Choroba wywoływana przez bakterie | 3, Rodzaj alergii na wodę | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 1.]
q30_kn_dcs,test_wiedzy,,radio,Co to jest choroba dekompresyjna (DCS)?,"1, Infekcja skóry po nurkowaniu | 2, Tworzenie się pęcherzyków gazu w tkankach przy zbyt szybkim wynurzaniu | 3, Choroba wywołana zimną wodą | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q31_kn_main_gas,test_wiedzy,,radio,Jaki jest główny gaz odpowiedzialny za DCS w nurkowaniu rekreacyjnym?,"1, Tlen | 2, Dwutlenek węgla | 3, Azot | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
q32_kn_dcs_action,test_wiedzy,,radio,Co należy zrobić w przypadku podejrzenia DCS po nurkowaniu?,"1, Wypić dużo wody i poczekać | 2, Jak najszybciej zanurzyć się ponownie | 3, Podać tlen 100% i jak najszybciej skontaktować się z DAN/komorą | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
q33_kn_mod_nitrox,test_wiedzy,,radio,"Maksymalna głębokość operacyjna (MOD) dla EAN32 przy PpO₂ = 1,4 ata?","1, 20 m | 2, 30 m | 3, 33 m | 4, 40 m",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3 (33 m).]
q34_kn_baro_atypical,test_wiedzy,,radio,Który z objawów NIE jest typowy dla barotraumy ucha środkowego?,"1, Ból ucha | 2, Zawroty głowy | 3, Ból w klatce piersiowej | 4, Szum w uszach",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
q35_kn_narcosis,test_wiedzy,,radio,Narkoza azotowa (efekt Martiniego) - definicja i typowe pojawienie?,"1, Reakcja alergiczna na azot, pojawia się przy każdej głębokości | 2, Stan euforii / zaburzeń poznawczych przez rozpuszczanie azotu w tkance nerwowej; typowo poniżej 30 m | 3, Toksyczność azotowa płuc, pojawia się przy nurk. saturacyjnych | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q36_kn_dan_riskfactor,test_wiedzy,,radio,Które zachowanie zwiększa ryzyko choroby dekompresyjnej (DCS)?,"1, Przestrzeganie przystanku bezpieczeństwa | 2, Wielokrotne głębokie nurkowania z krótkimi przerwami powierzchniowymi | 3, Powolne wynurzanie | 4, Korzystanie z komputera nurkowego",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q37_kn_type2_dcs,test_wiedzy,,radio,Który objaw wymaga NATYCHMIASTOWEJ ewakuacji do komory hiperbarycznej (podejrzenie DCS Typu II)?,"1, Świąd skóry i lekkie zaczerwienienie | 2, Niedowład kończyn dolnych, zaburzenia czucia, zaburzenia świadomości | 3, Zmęczenie po długim nurkowaniu | 4, Ból ucha podczas wynurzania",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q38_kn_lung_baro,test_wiedzy,,radio,"Partner po wynurzeniu: silna duszność, krwista plwocina, ból w klatce. Co to i pierwsze postępowanie?","1, Zwykłe zmęczenie - kazać odpocząć | 2, Atak astmy - podać salbutamol i poczekać | 3, Najprawdopodobniej barotrauma płucna lub zator powietrzny - ułożyć płasko, podać tlen 100%, wezwać pomoc, transport do komory | 4, Hipotermia - ogrzać i podać ciepły napój",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
intro_scoring,test_wiedzy,Scoring (auto-obliczeniowy),descriptive,"<b>Pola obliczeniowe - scoring testu wiedzy</b><br>Generowane automatycznie. 1 = odpowiedź poprawna, 0 = niepoprawna.",,,,,,,,,,,,,@HIDDEN-SURVEY
q29_score_barotrauma,test_wiedzy,,calc,Score: q29_kn_barotrauma,"if([q29_kn_barotrauma] = '1', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q30_score_dcs,test_wiedzy,,calc,Score: q30_kn_dcs,"if([q30_kn_dcs] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q31_score_main_gas,test_wiedzy,,calc,Score: q31_kn_main_gas,"if([q31_kn_main_gas] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q32_score_dcs_action,test_wiedzy,,calc,Score: q32_kn_dcs_action,"if([q32_kn_dcs_action] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q33_score_mod_nitrox,test_wiedzy,,calc,Score: q33_kn_mod_nitrox,"if([q33_kn_mod_nitrox] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q34_score_baro_atypical,test_wiedzy,,calc,Score: q34_kn_baro_atypical,"if([q34_kn_baro_atypical] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q35_score_narcosis,test_wiedzy,,calc,Score: q35_kn_narcosis,"if([q35_kn_narcosis] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q36_score_dan_riskfactor,test_wiedzy,,calc,Score: q36_kn_dan_riskfactor,"if([q36_kn_dan_riskfactor] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q37_score_type2_dcs,test_wiedzy,,calc,Score: q37_kn_type2_dcs,"if([q37_kn_type2_dcs] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q38_score_lung_baro,test_wiedzy,,calc,Score: q38_kn_lung_baro,"if([q38_kn_lung_baro] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_basic,test_wiedzy,,calc,Wynik - poziom podstawowy (max 4),[q29_score_barotrauma] + [q30_score_dcs] + [q31_score_main_gas] + [q32_score_dcs_action],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_advanced,test_wiedzy,,calc,Wynik - poziom zaawansowany (max 4),[q33_score_mod_nitrox] + [q34_score_baro_atypical] + [q35_score_narcosis] + [q36_score_dan_riskfactor],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_emergency,test_wiedzy,,calc,Wynik - poziom ratunkowo-medyczny (max 2),[q37_score_type2_dcs] + [q38_score_lung_baro],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_total,test_wiedzy,,calc,Wynik łączny testu wiedzy (max 10),[knowledge_score_basic] + [knowledge_score_advanced] + [knowledge_score_emergency],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_pct,test_wiedzy,,calc,Wynik testu wiedzy [%],"round([knowledge_score_total] * 10, 1)",,,,,,,,,,,,@HIDDEN-SURVEY
q39_baro_history,zdarzenia_niepozadane,G. Zdarzenia niepożądane,radio,Czy kiedykolwiek wystąpiły u Pana/Pani objawy barotraumy podczas lub po nurkowaniu?,"1, Tak | 2, Nie | 3, Nie wiem / nie jestem pewien/a",,,,,,,y,LV,,,,
q40_baro_symptoms,zdarzenia_niepozadane,,checkbox,Jakie objawy barotraumy? (rozszerzona lista),"1, Ból ucha | 2, Krwawienie z ucha | 3, Trwała lub przejściowa utrata słuchu | 4, Zawroty głowy | 5, Ból zatok przynosowych | 6, Krwawienie z nosa | 7, Kaszel po wynurzeniu | 8, Krwioplucie | 9, Ucisk lub ból w klatce piersiowej | 10, Duszność po wynurzeniu | 11, Ból zębów / zatok zębowych | 12, Inne",,,,,,[q39_baro_history] = '1',,LV,,,,
q40_baro_other,zdarzenia_niepozadane,,text,Inne objawy barotraumy - jakie?,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q40_baro_symptoms(12)] = '1',,,,,,
q39b_baro_24m,zdarzenia_niepozadane,,radio,Czy objawy barotraumy wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q39_baro_history] = '1',,LV,,,,
q41_dcs_history,zdarzenia_niepozadane,,radio,Czy kiedykolwiek wystąpiły u Pana/Pani objawy DCS?,"1, Tak - potwierdzona diagnozą lekarską / komorą hiperbaryczną | 2, Tak - podejrzewałem/am DCS, ale bez diagnozy lekarskiej | 3, Nie | 4, Nie wiem / nie jestem pewien/a",,,,,,,y,LV,,,,
q42_dcs_symptoms,zdarzenia_niepozadane,,checkbox,Jakie objawy DCS? (Typ I i Typ II - rozszerzona lista),"1, Świąd / zaczerwienienie skóry (skin bends) | 2, Marmurkowatość skóry (cutis marmorata) | 3, Ból mięśni i stawów (the bends - Typ I) | 4, Bóle głowy | 5, Drętwienie / mrowienie kończyn | 6, Niedowład / paraliż kończyn (Typ II - neurologiczny) | 7, Drgawki | 8, Zaburzenia świadomości / dezorientacja | 9, Zaburzenia widzenia / mowy | 10, Duszność po wynurzeniu / kaszel z pianą (chokes) | 11, Inne",,,,,,[q41_dcs_history] = '1' or [q41_dcs_history] = '2' or [q41_dcs_history] = '4',,LV,,,,
q42_dcs_other,zdarzenia_niepozadane,,text,Inne objawy DCS - jakie?,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q42_dcs_symptoms(11)] = '1',,,,,,
q41b_dcs_24m,zdarzenia_niepozadane,,radio,Czy objawy DCS wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q41_dcs_history] = '1' or [q41_dcs_history] = '2',,LV,,,,
q43_other_problems,zdarzenia_niepozadane,,radio,"Czy miał/a Pan/Pani inne problemy zdrowotne związane z nurkowaniem? (np. utrata przytomności pod wodą, zatrucie tlenem/CO, hipotermia)","1, Tak | 2, Nie",,,,,,,y,LV,,,,
q43_other_desc,zdarzenia_niepozadane,,text,Inne problemy - jakie?,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q43_other_problems] = '1',,,,,,
q43b_other_24m,zdarzenia_niepozadane,,radio,Czy te inne problemy zdrowotne wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q43_other_problems] = '1',,LV,,,,
q44_vision_problems,zdarzenia_niepozadane,,radio,"Czy doświadczył/a Pan/Pani zaburzeń widzenia pod wodą (wirujące koła, mroczki, podwójne widzenie)?","1, Tak | 2, Nie",,,,,,,y,LV,,,,
q44b_vision_24m,zdarzenia_niepozadane,,radio,Czy zaburzenia widzenia pod wodą wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q44_vision_problems] = '1',,LV,,,,
q_event_care,zdarzenia_niepozadane,,checkbox,Czy którekolwiek ze zdarzeń niepożądanych związanych z nurkowaniem wymagało: (wielokrotny wybór),"1, Konsultacji lekarskiej | 2, Podania tlenu | 3, Leczenia w komorze hiperbarycznej | 4, Hospitalizacji | 5, Przerwania nurkowania / rezygnacji | 6, Żadne z powyższych",,,,,,[q39_baro_history] = '1' or [q41_dcs_history] = '1' or [q41_dcs_history] = '2' or [q43_other_problems] = '1' or [q44_vision_problems] = '1',,LV,,,,@NONEOFTHEABOVE='6'
intro_freediver,zdarzenia_niepozadane,Pytania warunkowe - freediving,descriptive,<i>Pytania 45-46 - wyłącznie dla osób uprawiających freediving.</i>,,,,,,,,,,,,,
q45_freediver_lmc,zdarzenia_niepozadane,,radio,Czy doświadczył/a Pan/Pani na powierzchni objawów takich jak utrata kontroli motorycznej (samba) lub blackout?,"1, Tak - samba / LMC | 2, Tak - blackout | 3, Tak - oba zdarzenia | 4, Nie",,,,,,[q11_diving_method] = '2' or [q11_diving_method] = '3',,LV,,,,
q45b_freediver_24m,zdarzenia_niepozadane,,radio,Czy samba/LMC lub blackout wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q45_freediver_lmc] = '1' or [q45_freediver_lmc] = '2' or [q45_freediver_lmc] = '3',,LV,,,,
q46_freediver_taravana,zdarzenia_niepozadane,,radio,Czy wystąpiły u Pana/Pani objawy podobne do DCS po intensywnych sesjach freedivingu (taravana)?,"1, Tak | 2, Nie | 3, Nie wiem",,,,,,[q11_diving_method] = '2' or [q11_diving_method] = '3',,LV,,,,
q46b_taravana_24m,zdarzenia_niepozadane,,radio,Czy objawy taravany wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q46_freediver_taravana] = '1',,LV,,,,
q47_smoking,zachowania_ryzykowne,H. Zachowania ryzykowne,radio,Czy pali Pan/Pani papierosy / e-papierosy?,"1, Tak, aktualnie palę papierosy tradycyjne | 2, Tak, aktualnie używam e-papierosów / vape | 3, Nie, rzuciłem/am ponad rok temu | 4, Nie, nigdy nie paliłem/am",,,,,,,y,LV,,,,
q48_alcohol_freq,zachowania_ryzykowne,,radio,Jak często spożywa Pan/Pani alkohol?,"1, Codziennie | 2, 2-3 razy w tygodniu | 3, Raz w tygodniu | 4, Kilka razy w miesiącu | 5, Kilka razy w roku | 6, Nigdy",,,,,,,y,LV,,,,
q49_diving_under_influence,zachowania_ryzykowne,,radio,Czy zdarzyło się Panu/Pani nurkować pod wpływem alkoholu lub innych substancji (< 8 godzin od ostatniej dawki)?,"1, Tak - alkohol | 2, Tak - inne substancje (leki uspokajające, narkotyki, marihuana) | 3, Tak - oba przypadki | 4, Nie",,,,,,,y,LV,,,,
q50_diving_beyond_cert,zachowania_ryzykowne,,radio,"Czy nurkował/a Pan/Pani w warunkach przekraczających aktualne uprawnienia (głębokość, dekompresja, wraki/jaskinie)?","1, Tak - głębokość ponad limit certyfikatu | 2, Tak - dekompresja bez uprawnień | 3, Tak - wrak / jaskinia bez specjalizacji | 4, Tak - wielokrotnie / regularnie | 5, Nie",,,,,,,y,LV,,,,
intro_derived,pola_pochodne,Zmienne pochodne,descriptive,<b>Pola pochodne - auto-obliczeniowe</b><br>Generowane przez REDCap; używane jako zmienne wyjściowe w analizie.,,,,,,,,,,,,,
any_adverse_event,pola_pochodne,,calc,Punkt końcowy (lifetime): jakiekolwiek zdarzenie niepożądane kiedykolwiek (0/1),"if([q39_baro_history] = '1' or [q41_dcs_history] = '1' or [q41_dcs_history] = '2' or [q43_other_problems] = '1' or [q44_vision_problems] = '1' or [q45_freediver_lmc] = '1' or [q45_freediver_lmc] = '2' or [q45_freediver_lmc] = '3' or [q46_freediver_taravana] = '1', 1, 0)","Obejmuje barotraumę, DCS (pot./pod.), inne problemy, zaburzenia widzenia oraz zdarzenia freedivingowe (LMC/blackout/taravana).",,,,,,,,,,,@HIDDEN-SURVEY
any_adverse_event_24m,pola_pochodne,,calc,Punkt końcowy (24 mies.): jakiekolwiek zdarzenie w ostatnich 24 miesiącach (0/1),"if([q39b_baro_24m] = '1' or [q41b_dcs_24m] = '1' or [q43b_other_24m] = '1' or [q44b_vision_24m] = '1' or [q45b_freediver_24m] = '1' or [q46b_taravana_24m] = '1', 1, 0)",Glowny punkt koncowy do analizy determinant (spojny czasowo z ekspozycja).,,,,,,,,,,,@HIDDEN-SURVEY
serious_adverse_event,pola_pochodne,,calc,Ciężkie zdarzenie niepożądane (0/1),"if([q_event_care(1)] = '1' or [q_event_care(2)] = '1' or [q_event_care(3)] = '1' or [q_event_care(4)] = '1' or [q_event_care(5)] = '1', 1, 0)",Wymagalo konsultacji / tlenu / komory / hospitalizacji / przerwania nurkowania.,,,,,,,,,,,@HIDDEN-SURVEY
confirmed_dcs,pola_pochodne,,calc,DCS potwierdzona medycznie (0/1),"if([q41_dcs_history] = '1', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
suspected_dcs,pola_pochodne,,calc,"DCS podejrzewana, bez diagnozy (0/1)","if([q41_dcs_history] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
cert_aowd_plus,pola_pochodne,,calc,"Certyfikacja AOWD+ (1 = AOWD lub wyżej, 0 = poniżej AOWD)","if(([q12_certification] >= 3 and [q12_certification] <= 6) or ([q12_certification] = '7' and [q12b_other_aowd] = '1'), 1, 0)",Dla hipotezy H1.,,,,,,,,,,,@HIDDEN-SURVEY
bmi_category_num,pola_pochodne,,calc,"Kategoria BMI (1=niedowaga, 2=norma, 3=nadwaga, 4=otyłość)","if([bmi_calc] < 18.5, 1, if([bmi_calc] < 25, 2, if([bmi_calc] < 30, 3, 4)))",,,,,,,,,,,,@HIDDEN-SURVEY
vo2max_median_note,pola_pochodne,,descriptive,"<i>UWAGA: Flaga ""VO₂max poniżej mediany"" (zmienna dla H2) nie może być obliczona w REDCap - wymaga znajomości rozkładu populacyjnego. Wyznaczana w post-procesingu (skrypt Python: feature_engineering.py).</i>",,,,,,,,,,,,,
ipaq_vig_met,pola_pochodne,Aktywnosc / wydolnosc - pochodne,calc,IPAQ: MET-min intensywna,"if([ipaq_vig_min] = """", 0, 8 * [ipaq_vig_days] * [ipaq_vig_min])",,,,,,,,,,,,@HIDDEN-SURVEY
ipaq_mod_met,pola_pochodne,,calc,IPAQ: MET-min umiarkowana,"if([ipaq_mod_min] = """", 0, 4 * [ipaq_mod_days] * [ipaq_mod_min])",,,,,,,,,,,,@HIDDEN-SURVEY
ipaq_walk_met,pola_pochodne,,calc,IPAQ: MET-min chodzenie,"if([ipaq_walk_min] = """", 0, 3.3 * [ipaq_walk_days] * [ipaq_walk_min])",,,,,,,,,,,,@HIDDEN-SURVEY
ipaq_total_met,pola_pochodne,,calc,IPAQ-SF calkowity [MET-min/tydz.],[ipaq_vig_met] + [ipaq_mod_met] + [ipaq_walk_met],Kategoria low/moderate/high - w post-processingu (Python).,,,,,,,,,,,@HIDDEN-SURVEY
vsaq_mets,pola_pochodne,,calc,VSAQ: szacowana wydolnosc [MET],[vsaq_level],,,,,,,,,,,,@HIDDEN-SURVEY
vsaq_below_7met,pola_pochodne,,calc,VSAQ < 7 MET (ponizej typowego obciazenia nurkowego),"if([vsaq_level] < 7, 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
vsaq_below_10met,pola_pochodne,,calc,VSAQ < 10 MET (ponizej rekomendowanej rezerwy),"if([vsaq_level] < 10, 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
dasi_score,pola_pochodne,,calc,DASI wynik (0-58.2),2.75*[dasi_selfcare] + 1.75*[dasi_walk_indoor] + 2.75*[dasi_walk_block] + 5.5*[dasi_stairs] + 8*[dasi_run] + 2.7*[dasi_light_house] + 3.5*[dasi_mod_house] + 8*[dasi_heavy_house] + 4.5*[dasi_yard] + 5.25*[dasi_sex] + 6*[dasi_mod_rec] + 7.5*[dasi_strenuous],Suma wazona 12 itemow. Uwaga: pominiety item 'stosunki' zaniza wynik.,,,,,,,,,,,@HIDDEN-SURVEY
dasi_vo2peak,pola_pochodne,,calc,DASI: szacowany VO2peak [ml/kg/min],0.43*[dasi_score] + 9.6,,,,,,,,,,,,@HIDDEN-SURVEY
dasi_mets,pola_pochodne,,calc,DASI: szacowane METy,"round((0.43*[dasi_score] + 9.6) / 3.5, 1)",,,,,,,,,,,,@HIDDEN-SURVEY
dasi_below_7met,pola_pochodne,,calc,DASI < 7 MET (ponizej typowego obciazenia nurkowego),"if(((0.43*[dasi_score] + 9.6) / 3.5) < 7, 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
dive_func_limited,pola_pochodne,,calc,"Ograniczenie sprawnosci nurkowej (eksploracyjne, 0/1)","if([dive_swim200] = '2' or [dive_exit_gear] = '2' or [dive_carry50] = '2' or [dive_assist_buddy] = '2' or [dive_stop_symptoms_24m] = '1', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY [EKSPLORACYJNE]
